accion,MC,R_i,S_0,put
ALFAA,1,-0.0640533366028787,15.1573523291746,1.69318987592315
ALFAA,2,-0.0216024676764755,15.8146477826621,1.60929330024263
AMXL,1,-0.00194417620987388,15.300224732265,1.24526033895062
AMXL,2,0.0462234089311205,16.0552372027111,1.48369443256401
BIMBOA,1,0.0111499772966786,35.7564694021466,3.14715705277867
BIMBOA,2,0.0234458435143516,36.1988402593426,3.26689484734776
CEMEXCPO,1,-0.0404321254291226,6.87628032663911,0.602575929558441
CEMEXCPO,2,0.0686945189635527,7.66914012275541,0.798968376674457
FEMSAUBD,1,-0.0401051597713077,174.355339180066,12.1382915168123
FEMSAUBD,2,0.0227647218137571,185.668955268055,13.0937535238422
WALMEX,1,0.0633715913541725,58.726097434549,5.89765006509551
WALMEX,2,-0.0221701206984572,53.911429525806,4.46362516897493
